unit_id,m_gps_trust,m_trust_general,m_trust_in_group,m_trust_out_group,m_trust_institution,m_trust_composite,m_noise,rule_of_law,gini,q275_mean,log_gdp_pc
ARG,-0.20673333,0.2069327731092436,0.8653942115768463,0.6039778449144008,0.5380696939454424,0.6691472501455632,0.2519285981573831,-0.3909366697072983,42.175,2.7357926221335993,10.231372193040528
AUS,0.29897258,0.5401785714285714,0.8956028761061947,0.6786276142883583,0.6347414589104341,0.7363239831016624,0.5470564325817086,1.704198455810547,34.0,4.655192197360872,10.950765384710596
BGD,-0.17336532,0.1292743953294412,0.8519599666388658,0.4837092731829573,0.7805902777777778,0.705419839199867,0.0694010155166026,-0.6834667444229126,32.4,1.853211009174312,8.708536381028507
BOL,-0.16032963,0.0859794821690278,0.7277455249153363,0.4339017900338655,0.5223653442993065,0.5613375530828361,-0.1832297622046908,-1.20918447971344,44.14,3.3503153808830666,9.36218808917544
BRA,-0.0026891388,0.0664739884393063,0.7593198634035287,0.5240375452639604,0.5829536826119969,0.622103697093162,-0.1657153301845341,-0.2441298007965087,53.2,2.7779700115340256,9.794106146036938
CAN,0.24527504,0.4950223992035839,0.8689024390243902,0.6890451302472208,0.6331663763066202,0.7303713151927438,-1.424448466816873,1.7611984729766843,32.8,4.894420815611709,10.943059337905703
CHL,-0.0832141,0.1427104722792607,0.7864114114114115,0.5322769953051644,0.5662403878301572,0.6283095981822443,-0.6840649919517736,1.0046809434890749,45.3,3.8216432865731464,10.242886140824782
CHN,0.5528058,0.6543702226653373,0.8577316188592153,0.4885076432420542,0.7317012858555886,0.6926468493189527,-2.4124487853532783,-0.2879057884216308,38.58,2.834331337325349,9.729320204057291
COL,0.0055465335,0.0453947368421052,0.7611842105263158,0.4756578947368421,0.5483552631578947,0.5950657894736843,0.1746371454732344,-0.3306967258453369,51.739999999999995,3.1194926568758343,9.743923792015662
CZE,-0.45068413,0.3727959697732997,0.843932443703086,0.5812795878585353,0.6109949832775919,0.678735671613071,0.8895583540809934,1.044088566303253,25.3,3.145954962468724,10.71165066896269
DEU,-0.11882253,0.4595141700404858,0.8802390307793059,0.6109541223404256,0.6655464480874317,0.7189132004023877,1.055816276613924,1.6179471969604493,31.619999999999997,4.078688524590164,11.027020137518331
EGY,0.6090209,0.073517126148705,0.9084375,0.5201702959240647,0.7433930093776641,0.7240002684339096,0.9147623078262546,-0.4334514856338501,31.733333333333334,2.5975,9.55657013997741
GBR,0.23470205,0.4670821971172575,0.9052550824702724,0.6968938518803749,0.616805768738808,0.7396515676964851,0.2485762210575929,1.645641040802002,33.1,4.25010250102501,10.860603039004324
GRC,-0.3515055,0.0841750841750841,0.8714553794829024,0.4617503486750349,0.6203394546466332,0.6511817276015235,0.2944936011004044,0.1367881625890731,34.28,3.2325,10.379952071454738
IDN,0.26359722,0.0518912160050015,0.76734375,0.4637109375,0.80296875,0.6780078125000001,-0.6760615573619203,-0.3545965671539307,36.64,2.2566427008440137,9.375955076412763
IRN,0.30047,0.1483957219251337,0.8586557705136758,0.5471740097908323,0.7346425394707583,0.7134907732584223,-0.2140101544537986,-0.7639985322952271,36.36,3.9912985274431056,9.643889077145309
JPN,-0.5187299,0.3559718969555035,0.8358264771877337,0.485558916738692,0.6274427433408015,0.6496093790890757,0.8933365856128114,1.4782095670700073,32.04,4.380703066566941,10.72501771759918
KAZ,0.15293807,0.2389162561576354,0.8339215686274509,0.5300670347003155,0.7275223625361747,0.6971703219546471,0.48989998808539,-0.5058477997779847,27.46,4.792176039119805,10.365994172235943
KEN,-0.42230323,0.0958466453674121,0.8237331749802058,0.5339886153031507,0.659931325937665,0.6725510387403405,0.8217140067235236,-0.4569970190525055,40.8,3.31031746031746,8.496426034633567
KOR,-0.09921464,0.3293172690763052,0.8395582329317269,0.5044846050870146,0.6391566265060241,0.6610664881749219,-0.2962754765450325,1.103349828720093,34.25,4.118072289156626,10.76679706019359
MEX,-0.3570721,0.1029919447640966,0.7517231476163124,0.4523262492820218,0.5096089412215202,0.5712194460399515,-0.8289143432382152,-0.5842359840869904,46.45,3.023081361800346,9.984760332558874
NGA,-0.057804402,0.1268292682926829,0.7660670978172999,0.5261721907841552,0.6369240097008892,0.6430544327674481,1.58211431417086,-0.953133761882782,35.5,2.5887622149837135,9.04894893088218
NLD,0.29805693,0.6120556414219475,0.9193430656934306,0.704128244535519,0.6048321048321048,0.7427678050203514,-0.6906326258305919,1.7983410835266114,28.44,4.732451678535097,11.090175656291336
PAK,-0.10337088,0.2349671551288529,0.8545636910732196,0.484003350083752,0.7201023391812865,0.6862231267794194,-1.7235561338465335,-0.7395649790763855,30.450000000000003,2.16214859437751,8.521761759496307
PER,-0.0969185,0.0530465949820788,0.7254464285714286,0.4130603242727705,0.4898290445556349,0.542778599133278,-0.5260753188347947,-0.5211288928985596,42.84,3.309285714285714,9.620718711632875
PHL,0.35706308,0.0534670008354218,0.8452083333333333,0.533125,0.8071354166666667,0.7284895833333334,-0.4024647299668905,-0.4971797704696655,43.45,2.3408333333333333,9.056636714985515
